,REF_DATE,GEO,New housing price indexes,UOM,VALUE
242,2001-11-01,"London, Ontario",Total (house and land),"Index, 201612=100",65.6
243,2001-11-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
244,2001-11-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.3
245,2001-11-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.6
246,2001-11-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
247,2001-11-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.6
248,2001-11-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.4
249,2001-11-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",51.9
250,2001-11-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
251,2001-11-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.5
252,2001-11-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.1
253,2001-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
254,2001-12-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",67.6
255,2001-12-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.6
256,2001-12-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
257,2001-12-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
258,2001-12-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.7
259,2001-12-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
260,2001-12-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.0
261,2001-12-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.9
262,2001-12-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.6
263,2001-12-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",67.8
264,2001-12-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
265,2001-12-01,"London, Ontario",Total (house and land),"Index, 201612=100",65.5
266,2001-12-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
267,2001-12-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.7
268,2001-12-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.7
269,2001-12-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.6
270,2001-12-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.7
271,2001-12-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.5
272,2001-12-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",52.0
273,2001-12-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
274,2001-12-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.4
275,2001-12-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.1
276,2002-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
277,2002-01-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",68.3
278,2002-01-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",60.0
279,2002-01-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
280,2002-01-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
281,2002-01-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.9
282,2002-01-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
283,2002-01-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.1
284,2002-01-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",62.0
285,2002-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",63.0
286,2002-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",68.1
287,2002-01-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
288,2002-01-01,"London, Ontario",Total (house and land),"Index, 201612=100",66.3
289,2002-01-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
290,2002-01-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.5
291,2002-01-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.7
292,2002-01-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.6
293,2002-01-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.7
294,2002-01-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.7
295,2002-01-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",52.3
296,2002-01-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
297,2002-01-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.6
298,2002-01-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.1
299,2002-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",51.2
300,2002-02-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",68.3
301,2002-02-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",60.4
302,2002-02-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
303,2002-02-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
304,2002-02-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",62.2
305,2002-02-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
306,2002-02-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.6
307,2002-02-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",62.5
308,2002-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.7
309,2002-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",68.2
310,2002-02-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
311,2002-02-01,"London, Ontario",Total (house and land),"Index, 201612=100",66.3
312,2002-02-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
313,2002-02-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.5
314,2002-02-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.8
315,2002-02-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",39.0
316,2002-02-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.7
317,2002-02-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.9
318,2002-02-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",53.1
319,2002-02-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
320,2002-02-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.8
321,2002-02-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.3
322,2002-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",51.4
323,2002-03-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",68.3
